,지역명,규모구분,연도,월,분양가격(㎡),분양가격,평당분양가격
3375,전북,전체,2019,1,2380,2380.0,7854.0
3380,전남,전체,2019,1,2414,2414.0,7966.2
3385,경북,전체,2019,1,2638,2638.0,8705.4
3390,경남,전체,2019,1,2932,2932.0,9675.6
3395,제주,전체,2019,1,3424,3424.0,11299.199999999999
3400,서울,전체,2019,2,7627,7627.0,25169.1
3405,인천,전체,2019,2,3590,3590.0,11847.0
3410,경기,전체,2019,2,4256,4256.0,14044.8
3415,부산,전체,2019,2,4068,4068.0,13424.4
3420,대구,전체,2019,2,3988,3988.0,13160.4
3425,광주,전체,2019,2,3311,3311.0,10926.3
3430,대전,전체,2019,2,3689,3689.0,12173.699999999999
3435,울산,전체,2019,2,,,
3440,세종,전체,2019,2,3055,3055.0,10081.5
3445,강원,전체,2019,2,2359,2359.0,7784.7
3450,충북,전체,2019,2,2288,2288.0,7550.4
3455,충남,전체,2019,2,2571,2571.0,8484.3
3460,전북,전체,2019,2,2386,2386.0,7873.799999999999
3465,전남,전체,2019,2,2412,2412.0,7959.599999999999
3470,경북,전체,2019,2,2652,2652.0,8751.6
3475,경남,전체,2019,2,2932,2932.0,9675.6
3480,제주,전체,2019,2,3424,3424.0,11299.199999999999
3485,서울,전체,2019,3,7772,7772.0,25647.6
3490,인천,전체,2019,3,3682,3682.0,12150.599999999999
3495,경기,전체,2019,3,4369,4369.0,14417.699999999999
3500,부산,전체,2019,3,4068,4068.0,13424.4
3505,대구,전체,2019,3,3975,3975.0,13117.5
3510,광주,전체,2019,3,3311,3311.0,10926.3
3515,대전,전체,2019,3,3610,3610.0,11913.0
3520,울산,전체,2019,3,,,
3525,세종,전체,2019,3,3055,3055.0,10081.5
3530,강원,전체,2019,3,2405,2405.0,7936.5
3535,충북,전체,2019,3,2291,2291.0,7560.299999999999
3540,충남,전체,2019,3,2597,2597.0,8570.1
3545,전북,전체,2019,3,2452,2452.0,8091.599999999999
3550,전남,전체,2019,3,2388,2388.0,7880.4
3555,경북,전체,2019,3,2649,2649.0,8741.699999999999
3560,경남,전체,2019,3,2877,2877.0,9494.1
3565,제주,전체,2019,3,3424,3424.0,11299.199999999999
3570,서울,전체,2019,4,7784,7784.0,25687.199999999997
3575,인천,전체,2019,4,3682,3682.0,12150.599999999999
3580,경기,전체,2019,4,4411,4411.0,14556.3
3585,부산,전체,2019,4,3927,3927.0,12959.099999999999
3590,대구,전체,2019,4,4015,4015.0,13249.5
3595,광주,전체,2019,4,3313,3313.0,10932.9
3600,대전,전체,2019,4,3582,3582.0,11820.599999999999
3605,울산,전체,2019,4,,,
3610,세종,전체,2019,4,3458,3458.0,11411.4
3615,강원,전체,2019,4,2534,2534.0,8362.199999999999
3620,충북,전체,2019,4,2302,2302.0,7596.599999999999
3625,충남,전체,2019,4,2609,2609.0,8609.699999999999
3630,전북,전체,2019,4,2410,2410.0,7953.0
3635,전남,전체,2019,4,2310,2310.0,7623.0
3640,경북,전체,2019,4,2619,2619.0,8642.699999999999
3645,경남,전체,2019,4,2833,2833.0,9348.9
3650,제주,전체,2019,4,3441,3441.0,11355.3
3655,서울,전체,2019,5,7786,7786.0,25693.8
3660,인천,전체,2019,5,3881,3881.0,12807.3
3665,경기,전체,2019,5,4351,4351.0,14358.3
3670,부산,전체,2019,5,3924,3924.0,12949.199999999999
3675,대구,전체,2019,5,4115,4115.0,13579.5
3680,광주,전체,2019,5,3516,3516.0,11602.8
3685,대전,전체,2019,5,3582,3582.0,11820.599999999999
3690,울산,전체,2019,5,-,,
3695,세종,전체,2019,5,3458,3458.0,11411.4
3700,강원,전체,2019,5,2496,2496.0,8236.8
3705,충북,전체,2019,5,2297,2297.0,7580.099999999999
3710,충남,전체,2019,5,2702,2702.0,8916.6
3715,전북,전체,2019,5,2469,2469.0,8147.7
3720,전남,전체,2019,5,2268,2268.0,7484.4
3725,경북,전체,2019,5,2539,2539.0,8378.699999999999
3730,경남,전체,2019,5,2941,2941.0,9705.3
3735,제주,전체,2019,5,3441,3441.0,11355.3
3740,서울,전체,2019,6,8100,8100.0,26730.0
3745,인천,전체,2019,6,3887,3887.0,12827.099999999999
3750,경기,전체,2019,6,4531,4531.0,14952.3
3755,부산,전체,2019,6,3906,3906.0,12889.8
3760,대구,전체,2019,6,4166,4166.0,13747.8
3765,광주,전체,2019,6,3595,3595.0,11863.5
3770,대전,전체,2019,6,3476,3476.0,11470.8
3775,울산,전체,2019,6,,,
3780,세종,전체,2019,6,3458,3458.0,11411.4
3785,강원,전체,2019,6,2508,2508.0,8276.4
3790,충북,전체,2019,6,2327,2327.0,7679.099999999999
3795,충남,전체,2019,6,2618,2618.0,8639.4
3800,전북,전체,2019,6,2469,2469.0,8147.7
3805,전남,전체,2019,6,2320,2320.0,7656.0
3810,경북,전체,2019,6,2539,2539.0,8378.699999999999
3815,경남,전체,2019,6,2967,2967.0,9791.1
3820,제주,전체,2019,6,3744,3744.0,12355.199999999999
3825,서울,전체,2019,7,8067,8067.0,26621.1
3830,인천,전체,2019,7,3887,3887.0,12827.099999999999
3835,경기,전체,2019,7,4287,4287.0,14147.099999999999
3840,부산,전체,2019,7,3872,3872.0,12777.599999999999
3845,대구,전체,2019,7,4297,4297.0,14180.099999999999
3850,광주,전체,2019,7,3752,3752.0,12381.599999999999
3855,대전,전체,2019,7,3477,3477.0,11474.099999999999
3860,울산,전체,2019,7,,,
3865,세종,전체,2019,7,3458,3458.0,11411.4
3870,강원,전체,2019,7,2491,2491.0,8220.3
3875,충북,전체,2019,7,2290,2290.0,7557.0
3880,충남,전체,2019,7,2670,2670.0,8811.0
3885,전북,전체,2019,7,2488,2488.0,8210.4
3890,전남,전체,2019,7,2340,2340.0,7722.0
3895,경북,전체,2019,7,2539,2539.0,8378.699999999999
3900,경남,전체,2019,7,2967,2967.0,9791.1
3905,제주,전체,2019,7,3869,3869.0,12767.699999999999
3910,서울,전체,2019,8,8093,8093.0,26706.899999999998
3915,인천,전체,2019,8,3941,3941.0,13005.3
3920,경기,전체,2019,8,4343,4343.0,14331.9
3925,부산,전체,2019,8,3931,3931.0,12972.3
3930,대구,전체,2019,8,4315,4315.0,14239.5
3935,광주,전체,2019,8,3721,3721.0,12279.3
3940,대전,전체,2019,8,3385,3385.0,11170.5
3945,울산,전체,2019,8,,,
3950,세종,전체,2019,8,3458,3458.0,11411.4
3955,강원,전체,2019,8,2492,2492.0,8223.6
3960,충북,전체,2019,8,2239,2239.0,7388.7
3965,충남,전체,2019,8,2641,2641.0,8715.3
3970,전북,전체,2019,8,2630,2630.0,8679.0
3975,전남,전체,2019,8,2344,2344.0,7735.2
3980,경북,전체,2019,8,2631,2631.0,8682.3
3985,경남,전체,2019,8,2977,2977.0,9824.1
3990,제주,전체,2019,8,3869,3869.0,12767.699999999999
3995,서울,전체,2019,9,8085,8085.0,26680.5
4000,인천,전체,2019,9,3941,3941.0,13005.3
4005,경기,전체,2019,9,4441,4441.0,14655.3
4010,부산,전체,2019,9,4023,4023.0,13275.9
4015,대구,전체,2019,9,4358,4358.0,14381.4
4020,광주,전체,2019,9,3721,3721.0,12279.3
4025,대전,전체,2019,9,3442,3442.0,11358.599999999999
4030,울산,전체,2019,9,2725,2725.0,8992.5
4035,세종,전체,2019,9,3458,3458.0,11411.4
4040,강원,전체,2019,9,2482,2482.0,8190.599999999999
4045,충북,전체,2019,9,2263,2263.0,7467.9
4050,충남,전체,2019,9,2583,2583.0,8523.9
4055,전북,전체,2019,9,2630,2630.0,8679.0
4060,전남,전체,2019,9,2481,2481.0,8187.299999999999
4065,경북,전체,2019,9,2658,2658.0,8771.4
4070,경남,전체,2019,9,2995,2995.0,9883.5
4075,제주,전체,2019,9,3869,3869.0,12767.699999999999
4080,서울,전체,2019,10,8091,8091.0,26700.3
4085,인천,전체,2019,10,3947,3947.0,13025.099999999999
4090,경기,전체,2019,10,4421,4421.0,14589.3
4095,부산,전체,2019,10,4040,4040.0,13332.0
4100,대구,전체,2019,10,4405,4405.0,14536.5
4105,광주,전체,2019,10,3771,3771.0,12444.3
4110,대전,전체,2019,10,3632,3632.0,11985.599999999999
4115,울산,전체,2019,10,3140,3140.0,10362.0
4120,세종,전체,2019,10,3458,3458.0,11411.4
4125,강원,전체,2019,10,2460,2460.0,8118.0
4130,충북,전체,2019,10,2272,2272.0,7497.599999999999
4135,충남,전체,2019,10,2602,2602.0,8586.6
4140,전북,전체,2019,10,2556,2556.0,8434.8
4145,전남,전체,2019,10,2494,2494.0,8230.199999999999
4150,경북,전체,2019,10,2914,2914.0,9616.199999999999
4155,경남,전체,2019,10,3209,3209.0,10589.699999999999
4160,제주,전체,2019,10,3869,3869.0,12767.699999999999
4165,서울,전체,2019,11,8062,8062.0,26604.6
4170,인천,전체,2019,11,3922,3922.0,12942.599999999999
4175,경기,전체,2019,11,4453,4453.0,14694.9
4180,부산,전체,2019,11,3985,3985.0,13150.5
4185,대구,전체,2019,11,4382,4382.0,14460.599999999999
4190,광주,전체,2019,11,3836,3836.0,12658.8
4195,대전,전체,2019,11,3632,3632.0,11985.599999999999
4200,울산,전체,2019,11,3140,3140.0,10362.0
4205,세종,전체,2019,11,3458,3458.0,11411.4
4210,강원,전체,2019,11,2510,2510.0,8283.0
4215,충북,전체,2019,11,2303,2303.0,7599.9
4220,충남,전체,2019,11,2602,2602.0,8586.6
4225,전북,전체,2019,11,2468,2468.0,8144.4
4230,전남,전체,2019,11,2513,2513.0,8292.9
4235,경북,전체,2019,11,2914,2914.0,9616.199999999999
4240,경남,전체,2019,11,3201,3201.0,10563.3
4245,제주,전체,2019,11,3882,3882.0,12810.599999999999
